Date,gamestock,gamestonk,gme,r/wallstreetbets,total_tweets
3/26/2019,0,0,0,0,0
3/27/2019,0,0,0,0,0
3/28/2019,1,0,0,0,1
3/29/2019,0,0,0,0,0
3/30/2019,1,0,0,0,1
3/31/2019,0,0,0,0,0
4/01/2019,1,0,0,0,1
4/02/2019,0,0,0,0,0
4/03/2019,0,0,0,0,0
4/04/2019,0,0,0,0,0
4/05/2019,0,0,0,0,0
4/06/2019,0,0,0,0,0
4/07/2019,0,0,0,0,0
4/08/2019,0,0,0,0,0
4/09/2019,0,0,0,0,0
4/10/2019,0,0,0,0,0
4/11/2019,0,0,0,0,0
4/12/2019,0,0,0,0,0
4/13/2019,0,0,0,0,0
4/14/2019,0,0,0,0,0
4/15/2019,0,0,0,0,0
4/16/2019,0,0,0,0,0
4/17/2019,1,0,0,0,1
4/18/2019,0,0,0,0,0
4/19/2019,0,0,0,0,0
4/20/2019,0,0,0,0,0
4/21/2019,0,0,0,0,0
4/22/2019,0,0,0,0,0
4/23/2019,0,0,0,0,0
4/24/2019,0,0,0,0,0
4/25/2019,0,0,0,0,0
4/26/2019,0,0,0,0,0
4/27/2019,0,0,0,0,0
4/28/2019,0,0,0,0,0
4/29/2019,0,0,0,0,0
4/30/2019,1,0,0,0,1
5/01/2019,0,0,0,0,0
5/02/2019,0,0,0,0,0
5/03/2019,0,0,0,0,0
5/04/2019,0,0,0,0,0
5/05/2019,0,0,0,0,0
5/06/2019,0,0,0,0,0
5/07/2019,0,0,0,0,0
5/08/2019,0,0,0,0,0
5/09/2019,0,0,0,0,0
5/10/2019,0,0,0,0,0
5/11/2019,0,0,0,0,0
5/12/2019,0,0,0,0,0
5/13/2019,0,0,0,0,0
5/14/2019,0,0,0,0,0
5/15/2019,0,0,0,0,0
5/16/2019,0,0,0,0,0
5/17/2019,0,0,0,0,0
5/18/2019,1,0,0,0,1
5/19/2019,1,0,0,0,1
5/20/2019,0,0,0,0,0
5/21/2019,0,0,0,0,0
5/22/2019,0,0,0,0,0
5/23/2019,0,0,0,0,0
5/24/2019,0,0,0,0,0
5/25/2019,0,0,0,0,0
5/26/2019,0,0,0,0,0
5/27/2019,0,0,0,0,0
5/28/2019,0,0,0,0,0
5/29/2019,0,0,0,0,0
5/30/2019,2,0,0,0,2
5/31/2019,0,0,0,0,0
6/01/2019,0,0,0,0,0
6/02/2019,0,0,0,0,0
6/03/2019,0,0,0,0,0
6/04/2019,0,0,0,0,0
6/05/2019,17,0,0,0,17
6/06/2019,10,0,0,0,10
6/07/2019,4,0,0,0,4
6/08/2019,0,0,0,0,0
6/09/2019,0,0,0,0,0
6/10/2019,0,0,0,0,0
6/11/2019,4,0,0,0,4
6/12/2019,0,0,0,0,0
6/13/2019,0,0,0,0,0
6/14/2019,0,0,0,0,0
6/15/2019,1,0,0,0,1
6/16/2019,0,0,0,0,0
6/17/2019,0,0,0,0,0
6/18/2019,0,0,0,0,0
6/19/2019,0,0,0,0,0
6/20/2019,0,0,0,0,0
6/21/2019,0,0,0,0,0
6/22/2019,0,0,0,0,0
6/23/2019,0,0,0,0,0
6/24/2019,1,0,0,0,1
6/25/2019,0,0,0,0,0
6/26/2019,0,0,0,0,0
6/27/2019,0,0,0,0,0
6/28/2019,0,0,0,0,0
6/29/2019,0,0,0,0,0
6/30/2019,0,0,0,0,0
7/01/2019,0,0,0,0,0
7/02/2019,0,0,0,0,0
7/03/2019,0,0,0,0,0
7/04/2019,0,0,0,0,0
7/05/2019,0,0,0,0,0
7/06/2019,0,0,0,0,0
7/07/2019,0,0,0,0,0
7/08/2019,0,0,0,0,0
7/09/2019,0,0,0,0,0
7/10/2019,0,0,0,0,0
7/11/2019,0,0,0,0,0
7/12/2019,0,0,0,0,0
7/13/2019,0,0,0,0,0
7/14/2019,0,0,0,0,0
7/15/2019,0,0,0,0,0
7/16/2019,0,0,0,0,0
7/17/2019,0,0,0,0,0
7/18/2019,0,0,0,0,0
7/19/2019,0,0,0,0,0
7/20/2019,0,0,0,0,0
7/21/2019,1,0,0,0,1
7/22/2019,0,0,0,0,0
7/23/2019,0,0,0,0,0
7/24/2019,0,0,0,0,0
7/25/2019,0,0,0,0,0
7/26/2019,0,0,0,0,0
7/27/2019,3,0,0,0,3
7/28/2019,0,0,0,0,0
7/29/2019,0,0,0,0,0
7/30/2019,0,0,0,0,0
7/31/2019,0,0,0,0,0
8/01/2019,0,0,0,0,0
8/02/2019,0,0,0,0,0
8/03/2019,0,0,0,0,0
8/04/2019,0,0,0,0,0
8/05/2019,0,0,0,0,0
8/06/2019,0,0,0,0,0
8/07/2019,0,0,0,0,0
8/08/2019,0,0,0,0,0
8/09/2019,0,0,0,0,0
8/10/2019,0,0,0,0,0
8/11/2019,0,0,0,0,0
8/12/2019,0,0,0,0,0
8/13/2019,0,0,0,0,0
8/14/2019,3,0,0,0,3
8/15/2019,1,0,0,0,1
8/16/2019,0,0,0,0,0
8/17/2019,10,0,0,0,10
8/18/2019,0,0,0,0,0
8/19/2019,2,0,0,0,2
8/20/2019,0,0,0,0,0
8/21/2019,1,0,0,0,1
8/22/2019,1,0,0,0,1
8/23/2019,5,0,0,0,5
8/24/2019,1,0,0,0,1
8/25/2019,2,0,0,0,2
8/26/2019,1,0,0,0,1
8/27/2019,1,0,0,0,1
8/28/2019,0,0,0,0,0
8/29/2019,0,0,0,0,0
8/30/2019,1,0,0,0,1
8/31/2019,0,0,0,0,0
9/01/2019,0,0,0,0,0
9/02/2019,0,0,0,0,0
9/03/2019,0,0,0,0,0
9/04/2019,0,0,0,0,0
9/05/2019,0,0,0,0,0
9/06/2019,1,0,0,0,1
9/07/2019,0,0,0,0,0
9/08/2019,0,0,0,0,0
9/09/2019,0,0,0,0,0
9/10/2019,0,0,0,0,0
9/11/2019,0,0,0,0,0
9/12/2019,0,0,0,0,0
9/13/2019,0,0,0,0,0
9/14/2019,0,0,0,0,0
9/15/2019,0,0,0,0,0
9/16/2019,0,0,0,0,0
9/17/2019,0,0,0,0,0
9/18/2019,0,0,0,0,0
9/19/2019,0,0,0,0,0
9/20/2019,0,0,0,0,0
9/21/2019,0,0,0,0,0
9/22/2019,0,0,0,0,0
9/23/2019,0,0,0,0,0
9/24/2019,0,0,0,0,0
9/25/2019,0,0,0,0,0
9/26/2019,0,0,0,0,0
9/27/2019,0,0,0,0,0
9/28/2019,0,0,0,0,0
9/29/2019,0,0,0,0,0
9/30/2019,0,0,0,0,0
10/01/2019,0,0,0,0,0
10/02/2019,0,0,0,0,0
10/03/2019,0,0,0,0,0
10/04/2019,0,0,0,0,0
10/05/2019,0,0,0,0,0
10/06/2019,0,0,0,0,0
10/07/2019,0,0,0,0,0
10/08/2019,0,0,0,0,0
10/09/2019,0,0,0,0,0
10/10/2019,0,0,0,0,0
10/11/2019,0,0,0,0,0
10/12/2019,0,0,0,0,0
10/13/2019,0,0,0,0,0
10/14/2019,0,0,0,0,0
10/15/2019,0,0,0,0,0
10/16/2019,0,0,0,0,0
10/17/2019,0,0,0,0,0
10/18/2019,0,0,0,0,0
10/19/2019,0,0,0,0,0
10/20/2019,0,0,0,0,0
10/21/2019,0,0,0,0,0
10/22/2019,0,0,0,0,0
10/23/2019,0,0,0,0,0
10/24/2019,0,0,0,0,0
10/25/2019,0,0,0,0,0
