Date,gamestock,gamestonk,gme,r/wallstreetbets,total_tweets
5/23/2020,0,0,0,0,0
5/24/2020,0,0,0,0,0
5/25/2020,0,0,0,0,0
5/26/2020,0,0,0,0,0
5/27/2020,0,0,0,0,0
5/28/2020,0,0,0,0,0
5/29/2020,0,0,0,0,0
5/30/2020,0,0,0,0,0
5/31/2020,0,0,0,0,0
6/01/2020,0,0,0,0,0
6/02/2020,0,0,0,0,0
6/03/2020,0,0,0,0,0
6/04/2020,0,0,0,0,0
6/05/2020,0,0,0,0,0
6/06/2020,0,0,0,0,0
6/07/2020,0,0,0,0,0
6/08/2020,0,0,0,0,0
6/09/2020,0,0,0,0,0
6/10/2020,0,0,0,0,0
6/11/2020,0,0,0,0,0
6/12/2020,0,0,0,0,0
6/13/2020,0,0,0,0,0
6/14/2020,0,0,0,0,0
6/15/2020,0,0,0,0,0
6/16/2020,0,0,0,0,0
6/17/2020,0,0,0,0,0
6/18/2020,0,0,0,0,0
6/19/2020,0,0,0,0,0
6/20/2020,0,0,0,0,0
6/21/2020,0,0,0,0,0
6/22/2020,0,0,0,0,0
6/23/2020,0,0,0,0,0
6/24/2020,0,0,0,0,0
6/25/2020,0,0,0,0,0
6/26/2020,0,0,0,0,0
6/27/2020,0,0,0,0,0
6/28/2020,0,0,0,0,0
6/29/2020,0,0,0,0,0
6/30/2020,1,0,0,0,1
7/01/2020,0,0,0,0,0
7/02/2020,0,0,0,0,0
7/03/2020,0,0,0,0,0
7/04/2020,0,0,0,0,0
7/05/2020,2,0,0,0,2
7/06/2020,0,0,0,0,0
7/07/2020,0,0,0,0,0
7/08/2020,0,0,0,0,0
7/09/2020,0,0,0,0,0
7/10/2020,0,0,0,0,0
7/11/2020,0,0,0,0,0
7/12/2020,0,0,0,0,0
7/13/2020,0,0,0,0,0
7/14/2020,6,0,0,0,6
7/15/2020,1,0,0,0,1
7/16/2020,0,0,0,0,0
7/17/2020,0,0,0,0,0
7/18/2020,0,0,0,0,0
7/19/2020,0,0,0,0,0
7/20/2020,0,0,0,0,0
7/21/2020,0,0,0,0,0
7/22/2020,0,0,0,0,0
7/23/2020,0,0,0,0,0
7/24/2020,0,0,0,0,0
7/25/2020,0,0,0,0,0
7/26/2020,0,0,0,0,0
7/27/2020,0,0,0,0,0
7/28/2020,0,0,0,0,0
7/29/2020,0,0,0,0,0
7/30/2020,0,0,0,0,0
7/31/2020,0,0,0,0,0
8/01/2020,0,0,0,0,0
8/02/2020,0,0,0,0,0
8/03/2020,0,0,0,0,0
8/04/2020,1,0,0,0,1
8/05/2020,1,0,0,0,1
8/06/2020,1,0,0,0,1
8/07/2020,3,0,0,0,3
8/08/2020,0,0,0,0,0
8/09/2020,0,0,0,0,0
8/10/2020,2,0,0,0,2
